file,budget,lam,alfa,mu_alfa,mu_beta,obj_val,pax_obj,op_obj,used_budget,comp_time,combo,rank_in_budget,gap_vs_best_pct
bud=1.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000.0,4.0,0.1,0.0,0.0,-32195.13189957678,243828.06755383537,211632.9356542586,100381.56607320736,5450.19064979814,"mu_al=0, mu_b=0",1.0,0.0
bud=1.50e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,150000.0,4.0,0.1,0.0,0.0,-49226.480358387635,410103.27597716765,360876.79561878,148617.97652830885,5429.30830867216,"mu_al=0, mu_b=0",1.0,0.0
bud=2.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,200000.0,4.0,0.1,0.0,0.0,-54709.27719450282,441295.3418863012,386586.06469179835,174726.2936586597,5443.208053106442,"mu_al=0, mu_b=0",1.0,0.0
bud=3.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,300000.0,4.0,0.1,0.0,0.0,-54686.48557603941,441294.1201883664,386607.634612327,174725.84911761933,5445.931684490293,"mu_al=0, mu_b=0",1.0,0.0
bud=5.00e+05_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,500000.0,4.0,0.1,0.0,0.0,-492933.17536932975,2426194.153664592,1933260.9782952624,428657.38485215564,2524.5822666995227,"mu_al=0, mu_b=0",1.0,0.0
bud=1.00e+06_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,1000000.0,4.0,0.1,0.0,0.0,-249993.9515357404,2011840.351774847,1761846.4002391065,496531.25291944755,2490.815388703719,"mu_al=0, mu_b=0",1.0,0.0
bud=1.00e+07_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,10000000.0,4.0,0.1,0.0,0.0,-405224.55800451105,2984047.9202141543,2578823.3622096432,500361.87742521544,2543.6058640927076,"mu_al=0, mu_b=0",1.0,0.0
bud=1.00e+07_lam=4_alfa=0.1_mu_al=1.00e-07_mu_bet=1.00e-01_python.mat,10000000.0,4.0,0.1,1e-07,0.1,-300618.8231754771,1435264.3405558036,1134645.5173803265,465548.63265992294,1751.6668057739735,"mu_al=1e-07, mu_b=1e-01",2.0,25.814263415858782
bud=1.00e+08_lam=4_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000000.0,4.0,0.1,0.0,0.0,-405223.89354514424,2984048.616897475,2578824.7233523307,844302.2628982109,2526.753709729761,"mu_al=0, mu_b=0",1.0,0.0
bud=1.00e+08_lam=4_alfa=0.1_mu_al=1.00e-07_mu_bet=1.00e-01_python.mat,100000000.0,4.0,0.1,1e-07,0.1,-300618.8231754771,1435264.3405558036,1134645.5173803265,465548.63265992294,2269.44088508375,"mu_al=1e-07, mu_b=1e-01",2.0,25.81414177098951
bud=1.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,100000.0,10.0,0.1,0.0,0.0,-9995.190979300198,126179.9460428516,116184.7550635514,100927.68205753106,5675.153091398999,"mu_al=0, mu_b=0",3.0,74.54301715338053
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,100000.0,10.0,0.1,1e-08,0.001,-10108.846988631354,126118.70680806739,116009.85981943604,100976.70555992,5681.54190958105,"mu_al=1e-08, mu_b=1e-03",2.0,74.2535440371639
bud=1.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,100000.0,10.0,0.1,1e-07,0.005,-39263.06208210962,387195.6369032766,347932.574821167,100625.81451151035,5568.661547778174,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=1.50e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,150000.0,10.0,0.1,0.0,0.0,-22309.195818870387,267512.5184430678,245203.3226241974,135660.38909012472,5691.156781438738,"mu_al=0, mu_b=0",3.0,36.065517761822754
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,150000.0,10.0,0.1,1e-08,0.001,-22320.82316154428,267620.20527213527,245299.382110591,135666.49466620648,5684.072233490646,"mu_al=1e-08, mu_b=1e-03",2.0,36.03219571204127
bud=1.50e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,150000.0,10.0,0.1,1e-07,0.005,-34893.839815205196,575214.7000437677,540320.8602285625,132673.88343455706,5590.29494009912,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=2.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,200000.0,10.0,0.1,0.0,0.0,64332.60842971504,640888.2980305935,705220.9064603086,200432.0599890408,5681.408981993794,"mu_al=0, mu_b=0",3.0,204.00660185656952
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,200000.0,10.0,0.1,1e-08,0.001,19703.69763243862,603159.5007210695,622863.1983535081,200714.57252219328,5682.263097291812,"mu_al=1e-08, mu_b=1e-03",2.0,131.85499056824662
bud=2.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,200000.0,10.0,0.1,1e-07,0.005,-61854.350859797385,585105.1061903203,523250.75533052295,199719.79412168535,5617.927947750315,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=3.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,300000.0,10.0,0.1,0.0,0.0,55413.640859147534,865061.0985943642,920474.7394535118,300787.89022829407,5700.951728316024,"mu_al=0, mu_b=0",3.0,197.44802753625203
bud=3.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,300000.0,10.0,0.1,1e-08,0.001,24164.359433269245,837768.7547421437,861933.1141754129,299551.89836699254,5694.5482814293355,"mu_al=1e-08, mu_b=1e-03",2.0,142.4943953680025
bud=3.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,300000.0,10.0,0.1,1e-07,0.005,-56864.815286828554,753653.4365101414,696788.6212233128,290055.5522109454,5588.511290797964,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=5.00e+05_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,500000.0,10.0,0.1,0.0,0.0,52554.53801261622,892730.2159537628,945284.753966379,406248.7020097639,5709.80076864548,"mu_al=0, mu_b=0",3.0,188.4033345497846
bud=5.00e+05_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,500000.0,10.0,0.1,1e-08,0.001,21855.70400445792,860463.6150970812,882319.3191015391,403760.15086569695,5702.330613356084,"mu_al=1e-08, mu_b=1e-03",2.0,136.7640395290572
bud=5.00e+05_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,500000.0,10.0,0.1,1e-07,0.005,-59448.592386546195,775802.6656612616,716354.0732747155,394219.2988433304,5614.645612457767,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=1.00e+06_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,1000000.0,10.0,0.1,0.0,0.0,52553.541401874274,892730.7345402546,945284.2759421289,406247.2502898397,5703.012553492561,"mu_al=0, mu_b=0",3.0,186.16559782409107
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,1000000.0,10.0,0.1,1e-08,0.001,21167.17004076147,859268.2893453443,880435.4593861058,403757.98651878856,5707.821899652481,"mu_al=1e-08, mu_b=1e-03",2.0,134.7052132388048
bud=1.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,1000000.0,10.0,0.1,1e-07,0.005,-60991.326850843034,772003.6801736578,711012.3533228148,394231.5291950282,5616.69696804136,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
bud=5.00e+06_lam=10_alfa=0.1_mu_al=0.00e+00_mu_bet=0.00e+00_python.mat,5000000.0,10.0,0.1,0.0,0.0,52553.1546637679,892730.820593984,945283.9752577519,406247.35293288005,5695.899393759668,"mu_al=0, mu_b=0",3.0,188.4323302681946
bud=5.00e+06_lam=10_alfa=0.1_mu_al=1.00e-08_mu_bet=1.00e-03_python.mat,5000000.0,10.0,0.1,1e-08,0.001,21882.070041577448,860488.4407785643,882370.5108201418,403765.6612923973,5690.918115416542,"mu_al=1e-08, mu_b=1e-03",2.0,136.8214326475564
bud=5.00e+06_lam=10_alfa=0.1_mu_al=1.00e-07_mu_bet=5.00e-03_python.mat,5000000.0,10.0,0.1,1e-07,0.005,-59427.53572634177,775832.011421253,716404.4756949112,394231.20316259656,5598.939095098525,"mu_al=1e-07, mu_b=5e-03",1.0,0.0
